"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that logging in with a non-existent email address displays the appropriate error message.","1256","TC-LOGIN-003: Should show error when logging in with non-existent email","chromium","2026-06-30","passed","2026-06-30","User Login","login/login.spec.ts","",""
"Verifies that two specific products can be added to the cart by name and that their name, price, and quantity are correct in the cart view.","5655","TC-CART-001: Should add 2 products to cart and verify their details","webkit","2026-06-30","failed","2026-06-30","Add Product To Cart","cart/cart.spec.ts","",""
"","15532","TC-LOGIN-001: Should login successfully with the newly registered account","webkit","2026-06-30","failed","2026-06-30","User Login","login/login.spec.ts","",""
"Verifies that products added to the cart are still present when navigating directly to /view_cart without using the modal.","4520","TC-CART-002: Cart should still contain products after navigating directly to cart","firefox","2026-06-30","passed","2026-06-30","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies that logging in with a non-existent email address displays the appropriate error message.","1457","TC-LOGIN-003: Should show error when logging in with non-existent email","firefox","2026-06-30","passed","2026-06-30","User Login","login/login.spec.ts","",""
"Verifies successful login with a freshly registered account: correct redirect, username in navbar, and successful logout.","2211","TC-LOGIN-001: Should login successfully with the newly registered account","chromium","2026-06-30","passed","2026-06-30","User Login","login/login.spec.ts","",""
"","0","TC-LOGIN-002: Should show error when logging in with incorrect password","webkit","2026-06-30","skipped","2026-06-30","User Login","login/login.spec.ts","",""
"Verifies the full end-to-end user registration flow: signup form → account created confirmation → logged-in state → logout.","3601","TC-REG-001: Should register a new user account successfully","firefox","2026-06-30","passed","2026-06-30","User Registration","register/register.spec.ts","",""
"Verifies that two specific products can be added to the cart by name and that their name, price, and quantity are correct in the cart view.","5861","TC-CART-001: Should add 2 products to cart and verify their details","firefox","2026-06-30","passed","2026-06-30","Add Product To Cart","cart/cart.spec.ts","",""
"","0","TC-LOGIN-003: Should show error when logging in with non-existent email","webkit","2026-06-30","skipped","2026-06-30","User Login","login/login.spec.ts","",""
"Verifies that products added to the cart are still present when navigating directly to /view_cart without using the modal.","5652","TC-CART-002: Cart should still contain products after navigating directly to cart","webkit","2026-06-30","failed","2026-06-30","Add Product To Cart","cart/cart.spec.ts","",""
"","9162","Authenticate: Login with test account from .env","setup","2026-06-30","failed","2026-06-30","","auth/auth.setup.ts","",""
"Verifies successful login with a freshly registered account: correct redirect, username in navbar, and successful logout.","2396","TC-LOGIN-001: Should login successfully with the newly registered account","firefox","2026-06-30","passed","2026-06-30","User Login","login/login.spec.ts","",""
"Verifies the full end-to-end user registration flow: signup form → account created confirmation → logged-in state → logout.","2980","TC-REG-001: Should register a new user account successfully","chromium","2026-06-30","passed","2026-06-30","User Registration","register/register.spec.ts","",""
"","15640","TC-REG-001: Should register a new user account successfully","webkit","2026-06-30","failed","2026-06-30","User Registration","register/register.spec.ts","",""
"Verifies that two specific products can be added to the cart by name and that their name, price, and quantity are correct in the cart view.","30165","TC-CART-001: Should add 2 products to cart and verify their details","chromium","2026-06-30","broken","2026-06-30","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies that logging in with a correct email but wrong password displays the appropriate error message and keeps the user on /login.","1439","TC-LOGIN-002: Should show error when logging in with incorrect password","chromium","2026-06-30","passed","2026-06-30","User Login","login/login.spec.ts","",""
"","0","TC-REG-002: Should show error when registering with an existing email","webkit","2026-06-30","skipped","2026-06-30","User Registration","register/register.spec.ts","",""
"Verifies that attempting to sign up with an already-registered email displays the ""Email Address already exist!"" error.","1935","TC-REG-002: Should show error when registering with an existing email","chromium","2026-06-30","passed","2026-06-30","User Registration","register/register.spec.ts","",""
"Verifies that products added to the cart are still present when navigating directly to /view_cart without using the modal.","13245","TC-CART-002: Cart should still contain products after navigating directly to cart","chromium","2026-06-30","failed","2026-06-30","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies that attempting to sign up with an already-registered email displays the ""Email Address already exist!"" error.","2041","TC-REG-002: Should show error when registering with an existing email","firefox","2026-06-30","passed","2026-06-30","User Registration","register/register.spec.ts","",""
"Verifies that logging in with a correct email but wrong password displays the appropriate error message and keeps the user on /login.","1455","TC-LOGIN-002: Should show error when logging in with incorrect password","firefox","2026-06-30","passed","2026-06-30","User Login","login/login.spec.ts","",""
